ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year,
109,24.116,0.0,-0.024274,0.0,-0.003835,0.08527,0.286689,0.071928,-0.011968,59.5486,2018,0,
110,24.1197,0.0,0.203817,0.0,-0.003051,0.072503,0.207288,0.061264,-0.01082,59.7811,2018,0,
111,24.1236,0.0,-0.774546,0.0,-0.003813,0.14914,0.286062,0.127253,-0.015943,61.4576,2018,0,
112,24.1271,0.0,-1.39495,0.0,-0.004357,0.17526,0.242015,0.149601,-0.019419,59.9999,2018,0,
113,24.1306,0.0,-1.40685,0.0,-0.003926,0.020921,0.205152,0.016155,-0.032871,59.5706,2018,0,
114,24.1346,0.0,-0.597352,0.0,-0.003988,-0.055436,0.215789,-0.050003,-0.01929,60.1174,2018,0,
115,24.138,0.0,-1.25298,0.0,-0.004078,0.091556,0.17993,0.07725,-0.035729,59.6303,2018,0,
116,24.1417,0.0,-0.125679,0.0,-0.003384,0.119085,0.269835,0.101439,-0.010693,60.1677,2018,0,
117,24.1454,0.0,0.504713,0.0,-0.003938,0.073116,0.303209,0.061351,-0.023343,60.1309,2018,0,
118,24.1493,0.0,-0.988919,0.0,-0.003729,0.114955,0.225204,0.09769,-0.012385,60.936,2018,0,
119,24.1528,0.0,-0.871726,0.0,-0.003798,0.131336,0.295716,0.111842,-0.010116,60.96,2018,0,
120,24.1567,0.0,-0.031613,0.0,-0.004064,-0.019813,0.220274,-0.01919,-0.039177,58.9382,2018,0,
121,24.1608,0.0,-0.291992,0.0,-0.00394,0.113838,0.299904,0.096616,0.03036,59.9889,2018,0,
122,24.1642,0.0,-0.981669,0.0,-0.004409,0.026515,0.109347,0.020758,-0.055756,60.1062,2018,0,
123,24.168,0.0,-1.04331,0.0,-0.003635,0.189322,0.200953,0.16214,-0.034927,61.9153,2018,0,
124,24.1714,0.0,-1.56429,0.0,-0.004102,0.080756,0.23745,0.067885,-0.025605,60.5461,2018,0,
125,24.1747,0.0,-1.49135,0.0,-0.00343,0.240116,0.245451,0.206231,-0.039685,60.3349,2018,0,
126,24.1793,0.0,-0.069628,0.0,-0.003589,0.23326,0.250408,0.200215,-0.017557,59.2727,2018,0,
127,24.1826,0.0,-0.95455,0.0,-0.003775,-0.085615,0.128203,-0.076033,-0.079141,59.7947,2018,0,
128,24.1865,0.0,-0.506762,0.0,-0.004121,-0.04294,0.108965,-0.039247,-0.03787,59.3308,2018,0,
129,24.19,0.0,-0.728654,0.0,-0.003706,0.24215,0.249825,0.207855,-0.01864,59.1285,2018,0,
130,24.1936,0.0,-1.78207,0.0,-0.004065,0.013091,0.199732,0.009305,-0.030967,60.0297,2018,0,
131,24.1969,0.0,-1.39539,0.0,-0.003978,0.082114,0.266414,0.069123,-0.017432,59.6546,2018,0,
132,24.2011,0.0,-1.01888,0.0,-0.003854,0.10233,0.106424,0.086693,-0.041937,60.7088,2018,0,
133,24.2039,0.0,-1.14006,0.0,-0.00385,0.247329,0.261534,0.212269,-0.010939,59.4433,2018,0,
134,24.2085,0.0,-0.714909,0.0,-0.003594,0.250198,0.250235,0.214881,-0.024066,59.0069,2018,0,
135,24.212,0.0,-1.90579,0.0,-0.004034,-0.061426,0.296489,-0.055213,-0.015781,60.1547,2018,0,
136,24.2152,0.0,0.251461,0.0,-0.004153,0.136253,0.226917,0.115922,-0.014107,60.9249,2018,0,
137,24.2195,0.0,-1.08079,0.0,-0.004462,0.145316,0.145417,0.123616,-0.047476,60.4053,2018,0,
138,24.2232,0.0,-0.666089,0.0,-0.003344,0.130531,0.23014,0.111371,-0.009816,59.6862,2018,0,
139,24.227,0.0,-0.752384,0.0,-0.003776,0.127628,0.201258,0.108641,-0.026147,60.39,2018,0,
140,24.2307,0.0,0.635549,0.0,-0.003661,-0.097154,0.323704,-0.085968,-0.010398,59.9374,2018,0,
141,24.2343,0.0,-1.38988,0.0,-0.004221,-0.038443,0.226908,-0.035403,-0.036675,59.9901,2018,0,
142,24.2381,0.0,0.501027,0.0,-0.003642,0.294707,0.327657,0.253403,-0.012426,60.7541,2018,0,
143,24.2422,0.0,-1.03048,0.0,-0.003945,0.143398,0.229179,0.122213,-0.015081,60.6622,2018,0,
144,24.2451,0.0,0.19773,0.0,-0.0034,0.107549,0.123168,0.09144,-0.021215,59.7756,2018,0,
145,24.2492,0.0,0.510847,0.0,-0.003388,-0.029715,0.208127,-0.027428,-0.021638,60.3946,2018,0,
146,24.2533,0.0,-0.658723,0.0,-0.004281,0.214586,0.214637,0.183697,-0.01448,60.6595,2018,0,
147,24.2564,0.0,-0.618394,0.0,-0.004005,0.028609,0.239877,0.022774,-0.019853,59.6532,2018,0,
148,24.2612,0.0,-0.793224,0.0,-0.003936,-0.092921,0.286484,-0.08244,-0.015457,59.7652,2018,0,
149,24.2641,0.0,-1.49588,0.0,-0.003506,0.226739,0.227975,0.194609,-0.046882,59.8133,2018,0,
150,24.2677,0.0,0.796543,0.0,-0.003701,0.094376,0.311109,0.079881,-0.012543,59.7281,2018,0,
151,24.2719,0.0,-0.193793,0.0,-0.004632,0.14333,0.281356,0.121812,-0.119482,59.7506,2018,0,
152,24.2756,0.0,0.215013,0.0,-0.003389,0.015678,0.141272,0.011883,-0.04058,59.6427,2018,0,
153,24.2794,0.0,-0.675093,0.0,-0.003601,0.145142,0.24594,0.123897,-0.015417,60.2126,2018,0,
154,24.2832,0.0,-0.6108,0.0,-0.003275,0.268926,0.270173,0.231259,-0.053142,59.5937,2018,0,
155,24.2872,0.0,-1.12031,0.0,-0.003682,0.130654,0.312423,0.111308,-0.010643,60.0908,2018,0,
156,24.2898,0.0,-0.538582,0.0,-0.003112,0.19161,0.200669,0.164383,-0.035601,60.0813,2018,0,
157,24.2951,0.0,-1.04829,0.0,-0.004728,0.009889,0.120752,0.0062,-0.053321,60.013,2018,0,
158,24.2977,0.0,-1.40211,0.0,-0.003446,0.128274,0.139715,0.109366,-0.032558,60.0756,2018,0,
159,24.3019,0.0,-0.522466,0.0,-0.003899,0.185679,0.217688,0.158853,-0.018221,59.5474,2018,0,
160,24.3052,0.0,-0.453813,0.0,-0.003966,0.077873,0.139038,0.065457,-0.071964,60.7385,2018,0,
161,24.3091,0.0,-0.289257,0.0,-0.003576,0.045935,0.241997,0.037993,-0.013674,59.1708,2018,0,
162,24.313,0.0,-1.59837,0.0,-0.003886,0.051723,0.242092,0.04285,-0.031294,60.3666,2018,0,
163,24.3168,0.0,-0.447583,0.0,-0.005008,-0.035249,0.160507,-0.033031,-0.038825,59.592,2018,0,
164,24.3206,0.0,-0.883618,0.0,-0.004356,0.25099,0.251033,0.215186,-0.01809,59.9217,2018,0,
165,24.3244,0.0,-0.301352,0.0,-0.004171,0.107566,0.19998,0.091069,-0.022901,60.0438,2018,0,
166,24.3283,0.0,0.136979,0.0,-0.004078,0.202037,0.219588,0.172931,-0.016825,59.973,2018,0,
167,24.3317,0.0,-0.693511,0.0,-0.003448,0.233171,0.234007,0.200208,-0.017786,60.5963,2018,0,
168,24.3353,0.0,-0.490033,0.0,-0.004011,0.316826,0.316852,0.272374,-0.014626,58.5304,2018,0,
169,24.3394,0.0,-1.40417,0.0,-0.003944,0.074815,0.178952,0.06282,-0.090677,59.738,2018,0,
170,24.3427,0.0,-1.3967,0.0,-0.003671,0.157611,0.166469,0.134659,-0.021959,59.5137,2018,0,
171,24.3469,0.0,-0.030855,0.0,-0.003575,0.030008,0.147353,0.0242,-0.028958,60.899,2018,0,
172,24.3509,0.0,-0.639436,0.0,-0.004234,0.07558,0.261023,0.063337,-0.068755,58.9578,2018,0,
173,24.3542,0.0,0.916968,0.0,-0.003181,-0.02511,0.250198,-0.023337,-0.072205,60.3489,2018,0,
174,24.3579,0.0,0.262408,0.0,-0.003687,0.094389,0.298676,0.079899,-0.010782,59.7207,2018,0,
175,24.3618,0.0,-0.256893,0.0,-0.003851,0.027874,0.236546,0.022214,-0.019074,59.4247,2018,0,
176,24.3653,0.0,-0.581561,0.0,-0.003708,0.216302,0.216366,0.18547,-0.033641,60.3263,2018,0,
177,24.3694,0.0,0.498937,0.0,-0.003883,0.066839,0.256415,0.055943,-0.059609,59.8989,2018,0,
178,24.3731,0.0,-0.408073,0.0,-0.004158,0.143662,0.269444,0.122335,-0.011462,59.1614,2018,0,
179,24.377,0.0,-0.805245,0.0,-0.004051,0.046593,0.124166,0.038325,-0.051385,60.4371,2018,0,
180,24.3803,0.0,-0.758529,0.0,-0.003558,0.105687,0.137008,0.089748,-0.054987,60.2632,2018,0,
181,24.384,0.0,-1.57859,0.0,-0.004015,0.066675,0.227713,0.055735,-0.01532,59.7846,2018,0,
182,24.3881,0.0,-0.663257,0.0,-0.004179,0.093746,0.321612,0.079097,-0.01621,60.5147,2018,0,
183,24.3919,0.0,-1.0698,0.0,-0.004064,0.210561,0.210626,0.180319,-0.04841,59.5153,2018,0,
184,24.396,0.0,-1.06906,0.0,-0.004441,0.020786,0.202713,0.01578,-0.019199,59.9829,2018,0,
185,24.3998,0.0,-0.45709,0.0,-0.004339,0.054941,0.141044,0.045411,-0.022191,59.9809,2018,0,
186,24.4029,0.0,-1.06638,0.0,-0.003493,0.261478,0.276968,0.2247,-0.02167,59.6885,2018,0,
187,24.4072,0.0,-0.111874,0.0,-0.003804,-0.001931,0.214659,-0.003575,-0.025997,60.2592,2018,0,
188,24.411,0.0,0.086674,0.0,-0.004551,0.007428,0.12901,0.004158,-0.036104,61.1421,2018,0,
189,24.4143,0.0,-0.380981,0.0,-0.004202,0.013232,0.229248,0.009358,-0.026429,59.5137,2018,0,
190,24.4189,0.0,-0.218756,0.0,-0.004282,0.295206,0.303317,0.253515,-0.028695,60.8322,2018,0,
191,24.4223,0.0,-0.947356,0.0,-0.004424,0.118317,0.176176,0.100253,-0.058965,59.2667,2018,0,
